text,label,category,target,source,char_length,word_count,digit_count,has_url,has_phone
"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx",safe,Standard SMS,0,UCI SMS Spam Collection,138,31,1,0,0
NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;,safe,Standard SMS,0,UCI SMS Spam Collection,164,22,0,0,0
Otherwise had part time job na-tuition..,safe,Standard SMS,0,UCI SMS Spam Collection,40,6,0,0,0
I know she called me,safe,Standard SMS,0,UCI SMS Spam Collection,20,5,0,0,0
"Me also da, i feel yesterday night  wait til 2day night dear.",safe,Standard SMS,0,UCI SMS Spam Collection,61,12,1,0,0
Thanks for understanding. I've been trying to tell sura that.,safe,Standard SMS,0,UCI SMS Spam Collection,61,10,0,0,0
WIN a year supply of CDs 4 a store of ur choice worth Â£500 & enter our Â£100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,scam,SMS Spam,1,UCI SMS Spam Collection,147,26,19,1,0
The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.,safe,Standard SMS,0,UCI SMS Spam Collection,130,25,0,0,0
"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr",scam,SMS Spam,1,UCI SMS Spam Collection,148,29,10,0,0
I need you to be in my strong arms...,safe,Standard SMS,0,UCI SMS Spam Collection,37,9,0,0,0
Also maaaan are you missing out,safe,Standard SMS,0,UCI SMS Spam Collection,31,6,0,0,0
His bday real is in april .,safe,Standard SMS,0,UCI SMS Spam Collection,27,7,0,0,0
Guessin you ain't gonna be here before 9?,safe,Standard SMS,0,UCI SMS Spam Collection,41,8,1,0,0
Ok then i will come to ur home after half an hour,safe,Standard SMS,0,UCI SMS Spam Collection,49,12,0,0,0
"Yo, the game almost over? Want to go to walmart soon",safe,Standard SMS,0,UCI SMS Spam Collection,52,11,0,0,0
"Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!",safe,Standard SMS,0,UCI SMS Spam Collection,124,25,0,0,0
I'll text now! All creepy like so he won't think that we forgot,safe,Standard SMS,0,UCI SMS Spam Collection,63,13,0,0,0
"that would be good â¦ I'll phone you tomo lunchtime, shall I, to organise something?",safe,Standard SMS,0,UCI SMS Spam Collection,85,15,0,0,0
You have 1 new voicemail. Please call 08719181513.,scam,SMS Spam,1,UCI SMS Spam Collection,50,8,12,0,1
"Damn, can you make it tonight or do you want to just wait til tomorrow",safe,Standard SMS,0,UCI SMS Spam Collection,70,15,0,0,0
K..k..i'm also fine:)when will you complete the course?,safe,Standard SMS,0,UCI SMS Spam Collection,55,8,0,0,0
"True. It is passable. And if you get a high score and apply for phd, you get 5years of salary. So it makes life easier.",safe,Standard SMS,0,UCI SMS Spam Collection,119,25,1,0,0
No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,scam,SMS Spam,1,UCI SMS Spam Collection,143,31,14,0,0
Prakesh is there know.,safe,Standard SMS,0,UCI SMS Spam Collection,22,4,0,0,0
Teach me apps da. When you come to college.,safe,Standard SMS,0,UCI SMS Spam Collection,43,9,0,0,0
Rofl betta invest in some  anti aging products,safe,Standard SMS,0,UCI SMS Spam Collection,46,8,0,0,0
"sir, you will receive the account no another 1hr time. Sorry for the delay.",safe,Standard SMS,0,UCI SMS Spam Collection,75,14,1,0,0
Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www.phb1.com ph:08700435505150p,scam,SMS Spam,1,UCI SMS Spam Collection,159,23,15,1,0
So Ã¼'ll be submitting da project tmr rite?,safe,Standard SMS,0,UCI SMS Spam Collection,43,8,0,0,0
FREE entry into our Â£250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.,scam,SMS Spam,1,UCI SMS Spam Collection,123,21,21,1,1
Jus ans me lar. U'll noe later.,safe,Standard SMS,0,UCI SMS Spam Collection,31,7,0,0,0
I want to send something that can sell fast.  &lt;#&gt; k is not easy money.,safe,Standard SMS,0,UCI SMS Spam Collection,76,15,0,0,0
have got * few things to do. may be in * pub later.,safe,Standard SMS,0,UCI SMS Spam Collection,51,13,0,0,0
1's finish meeting call me.,safe,Standard SMS,0,UCI SMS Spam Collection,27,5,1,0,0
Lol ok. I'll snatch her purse too.,safe,Standard SMS,0,UCI SMS Spam Collection,34,7,0,0,0
Hello-/@drivby-:0quit edrunk sorry iff pthis makes no senrd-dnot no how ^ dancce 2 drum n basq!ihave fun 2nhite x ros xxxxxxx,safe,Standard SMS,0,UCI SMS Spam Collection,125,21,3,0,0
How much are we getting?,safe,Standard SMS,0,UCI SMS Spam Collection,24,5,0,0,0
Is ur paper in e morn or aft tmr?,safe,Standard SMS,0,UCI SMS Spam Collection,33,9,0,0,0
"Dear relieved of westonzoyland, all going to plan this end too!",safe,Standard SMS,0,UCI SMS Spam Collection,63,11,0,0,0
Hope you are having a great new semester. Do wish you the very best. You are made for greatness.,safe,Standard SMS,0,UCI SMS Spam Collection,96,19,0,0,0
Oh yes I can speak txt 2 u no! Hmm. Did u get  email?,safe,Standard SMS,0,UCI SMS Spam Collection,53,14,1,0,0
"I want to show you the world, princess :) how about europe?",safe,Standard SMS,0,UCI SMS Spam Collection,59,12,0,0,0
Nobody can decide where to eat and dad wants Chinese,safe,Standard SMS,0,UCI SMS Spam Collection,52,10,0,0,0
No shoot me. I'm in the docs waiting room. :/,safe,Standard SMS,0,UCI SMS Spam Collection,45,10,0,0,0
Now? I'm going out 4 dinner soon..,safe,Standard SMS,0,UCI SMS Spam Collection,34,7,1,0,0
Hello which the site to download songs its urgent pls,safe,Standard SMS,0,UCI SMS Spam Collection,53,10,0,0,0
"I do know what u mean,  is the king of not havin credit! I'm goin2bed now. Night night sweet! Only1more sleep!",safe,Standard SMS,0,UCI SMS Spam Collection,110,21,2,0,0
Horrible gal. Me in sch doing some stuff. How come u got mc?,safe,Standard SMS,0,UCI SMS Spam Collection,60,13,0,0,0
"HI HUN! IM NOT COMIN 2NITE-TELL EVERY1 IM SORRY 4 ME, HOPE U AVA GOODTIME!OLI RANG MELNITE IFINK IT MITE B SORTED,BUT IL EXPLAIN EVERYTHIN ON MON.L8RS.x",safe,Standard SMS,0,UCI SMS Spam Collection,152,27,4,0,0
Please CALL 08712402779 immediately as there is an urgent message waiting for you,scam,SMS Spam,1,UCI SMS Spam Collection,81,13,11,0,1
Yeah like if it goes like it did with my friends imma flip my shit in like half an hour,safe,Standard SMS,0,UCI SMS Spam Collection,87,20,0,0,0
Mum say we wan to go then go... Then she can shun bian watch da glass exhibition...,safe,Standard SMS,0,UCI SMS Spam Collection,83,17,0,0,0
What your plan for pongal?,safe,Standard SMS,0,UCI SMS Spam Collection,26,5,0,0,0
Just wait till end of march when el nino gets himself. Oh.,safe,Standard SMS,0,UCI SMS Spam Collection,58,12,0,0,0
"Not yet chikku..going to room nw, i'm in bus..",safe,Standard SMS,0,UCI SMS Spam Collection,46,9,0,0,0
Am also doing in cbe only. But have to pay.,safe,Standard SMS,0,UCI SMS Spam Collection,43,10,0,0,0
Honey boo I'm missing u.,safe,Standard SMS,0,UCI SMS Spam Collection,24,5,0,0,0
"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us",safe,Standard SMS,0,UCI SMS Spam Collection,97,18,0,0,0
"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem",safe,Standard SMS,0,UCI SMS Spam Collection,70,14,0,0,0
"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy!",safe,Standard SMS,0,UCI SMS Spam Collection,179,35,0,0,0
"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)",scam,SMS Spam,1,UCI SMS Spam Collection,120,20,27,0,1
Ok. No wahala. Just remember that a friend in need ...,safe,Standard SMS,0,UCI SMS Spam Collection,54,11,0,0,0
I will see in half an hour,safe,Standard SMS,0,UCI SMS Spam Collection,26,7,0,0,0
"Im in inperialmusic listening2the weirdest track ever byÂleafcutter johnÂ-sounds like insects being molested&someone plumbing,remixed by evil men on acid!",safe,Standard SMS,0,UCI SMS Spam Collection,156,19,1,0,0
"Hey sorry I didntgive ya a a bellearlier hunny,just been in bedbut mite go 2 thepub l8tr if uwana mt up?loads a luv Jenxxx.",safe,Standard SMS,0,UCI SMS Spam Collection,123,24,2,0,0
SERIOUSLY. TELL HER THOSE EXACT WORDS RIGHT NOW.,safe,Standard SMS,0,UCI SMS Spam Collection,48,8,0,0,0
Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx CallsÂ£1/minmoremobsEMSPOBox45PO139WA,scam,SMS Spam,1,UCI SMS Spam Collection,147,27,20,0,1
"Tee hee. Off to lecture, cheery bye bye.",safe,Standard SMS,0,UCI SMS Spam Collection,40,8,0,0,0
"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u..",safe,Standard SMS,0,UCI SMS Spam Collection,81,19,0,0,0
If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number,safe,Standard SMS,0,UCI SMS Spam Collection,116,26,0,0,0
network operator. The service is free. For T & C's visit 80488.biz,scam,SMS Spam,1,UCI SMS Spam Collection,66,12,5,0,0
Let me know how to contact you. I've you settled in a room. Lets know you are ok.,safe,Standard SMS,0,UCI SMS Spam Collection,81,18,0,0,0
Wot u up 2 u weirdo?,safe,Standard SMS,0,UCI SMS Spam Collection,20,6,1,0,0
Can do lor...,safe,Standard SMS,0,UCI SMS Spam Collection,13,3,0,0,0
Dont put your phone on silent mode ok,safe,Standard SMS,0,UCI SMS Spam Collection,37,8,0,0,0
Can i meet Ã¼ at 5.. As 4 where depends on where Ã¼ wan 2 in lor..,safe,Standard SMS,0,UCI SMS Spam Collection,66,17,3,0,0
Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?,safe,Standard SMS,0,UCI SMS Spam Collection,69,15,2,0,0
Oh ho. Is this the first time u use these type of words,safe,Standard SMS,0,UCI SMS Spam Collection,55,13,0,0,0
Am I the only one who doesn't stalk profiles?,safe,Standard SMS,0,UCI SMS Spam Collection,45,9,0,0,0
"Ever green quote ever told by Jerry in cartoon ""A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt",safe,Standard SMS,0,UCI SMS Spam Collection,159,32,0,0,0
Yes i thought so. Thanks.,safe,Standard SMS,0,UCI SMS Spam Collection,25,5,0,0,0
But if she.s drinkin i'm ok.,safe,Standard SMS,0,UCI SMS Spam Collection,28,6,0,0,0
"Just wondering, the others just took off",safe,Standard SMS,0,UCI SMS Spam Collection,40,7,0,0,0
"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng",safe,Standard SMS,0,UCI SMS Spam Collection,156,31,0,0,0
"What do you do, my dog ? Must I always wait till the end of your day to have word from you ? Did you run out of time on your cell already?",safe,Standard SMS,0,UCI SMS Spam Collection,138,33,0,0,0
Happy new year to u too!,safe,Standard SMS,0,UCI SMS Spam Collection,24,6,0,0,0
"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May",safe,Standard SMS,0,UCI SMS Spam Collection,70,12,8,0,0
Eat jap done oso aft ur lect wat... Ã got lect at 12 rite...,safe,Standard SMS,0,UCI SMS Spam Collection,61,14,2,0,0
"Hey babe! I saw you came online for a second and then you disappeared, what happened ?",safe,Standard SMS,0,UCI SMS Spam Collection,86,17,0,0,0
Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes,safe,Standard SMS,0,UCI SMS Spam Collection,174,35,0,0,0
Happy birthday... May all ur dreams come true...,safe,Standard SMS,0,UCI SMS Spam Collection,48,8,0,0,0
Aiyah u did ok already lar. E nydc at wheellock?,safe,Standard SMS,0,UCI SMS Spam Collection,48,10,0,0,0
TELL HER I SAID EAT SHIT.,safe,Standard SMS,0,UCI SMS Spam Collection,25,6,0,0,0
Sure! I am driving but will reach my destination soon.,safe,Standard SMS,0,UCI SMS Spam Collection,54,10,0,0,0
"K so am I, how much for an 8th? Fifty?",safe,Standard SMS,0,UCI SMS Spam Collection,38,10,1,0,0
Your daily text from me â a favour this time,safe,Standard SMS,0,UCI SMS Spam Collection,46,10,0,0,0
Great to hear you are settling well. So what's happenin wit ola?,safe,Standard SMS,0,UCI SMS Spam Collection,64,12,0,0,0
Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one,safe,Standard SMS,0,UCI SMS Spam Collection,133,23,0,0,0
I tot u reach liao. He said t-shirt.,safe,Standard SMS,0,UCI SMS Spam Collection,36,8,0,0,0
"FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT",safe,Standard SMS,0,UCI SMS Spam Collection,132,31,3,0,0
Your right! I'll make the appointment right now.,safe,Standard SMS,0,UCI SMS Spam Collection,48,8,0,0,0
Designation is software developer and may be she get chennai:),safe,Standard SMS,0,UCI SMS Spam Collection,62,10,0,0,0
Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186,scam,SMS Spam,1,UCI SMS Spam Collection,162,23,15,0,1
"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",scam,SMS Spam,1,UCI SMS Spam Collection,155,28,6,1,0
I jokin oni lar.. Ã busy then i wun disturb Ã¼.,safe,Standard SMS,0,UCI SMS Spam Collection,48,11,0,0,0
"Ok, be careful ! Don't text and drive !",safe,Standard SMS,0,UCI SMS Spam Collection,39,9,0,0,0
"I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it.",safe,Standard SMS,0,UCI SMS Spam Collection,103,23,0,0,0
U r too much close to my heart. If u go away i will be shattered. Plz stay with me.,safe,Standard SMS,0,UCI SMS Spam Collection,83,20,0,0,0
I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie,safe,Standard SMS,0,UCI SMS Spam Collection,84,19,1,0,0
How abt making some of the pics bigger?,safe,Standard SMS,0,UCI SMS Spam Collection,39,8,0,0,0
Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually i'm done she's styling my hair now.,safe,Standard SMS,0,UCI SMS Spam Collection,122,25,1,0,0
"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)",safe,Standard SMS,0,UCI SMS Spam Collection,154,30,2,0,0
Why nothing. Ok anyway give me treat,safe,Standard SMS,0,UCI SMS Spam Collection,36,7,0,0,0
"Win the newest âHarry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!",scam,SMS Spam,1,UCI SMS Spam Collection,140,26,2,0,0
Correct. So how was work today,safe,Standard SMS,0,UCI SMS Spam Collection,30,6,0,0,0
"Just sent again. Do you scream and moan in bed, princess?",safe,Standard SMS,0,UCI SMS Spam Collection,57,11,0,0,0
"I wake up long ago already... Dunno, what other thing?",safe,Standard SMS,0,UCI SMS Spam Collection,54,10,0,0,0
Oh just getting even with u.... u?,safe,Standard SMS,0,UCI SMS Spam Collection,34,7,0,0,0
I thk 50 shd be ok he said plus minus 10.. Did Ã¼ leave a line in between paragraphs?,safe,Standard SMS,0,UCI SMS Spam Collection,85,19,4,0,0
Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz,safe,Standard SMS,0,UCI SMS Spam Collection,139,29,1,0,0
Yeah jay's sort of a fucking retard,safe,Standard SMS,0,UCI SMS Spam Collection,35,7,0,0,0
"Sorry, was in the bathroom, sup",safe,Standard SMS,0,UCI SMS Spam Collection,31,6,0,0,0
Ur balance is now Â£500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!,scam,SMS Spam,1,UCI SMS Spam Collection,126,26,11,0,0
My exam is for february 4. Wish you a great day.,safe,Standard SMS,0,UCI SMS Spam Collection,48,11,1,0,0
I dont know what to do to come out of this so only am ask questions like this dont mistake me.,safe,Standard SMS,0,UCI SMS Spam Collection,94,21,0,0,0
"Aight no rush, I'll ask jay",safe,Standard SMS,0,UCI SMS Spam Collection,27,6,0,0,0
Good Morning plz call me sir,safe,Standard SMS,0,UCI SMS Spam Collection,28,6,0,0,0
It's ok lar. U sleep early too... Nite...,safe,Standard SMS,0,UCI SMS Spam Collection,41,8,0,0,0
"Oh... Icic... K lor, den meet other day...",safe,Standard SMS,0,UCI SMS Spam Collection,42,8,0,0,0
"Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*",safe,Standard SMS,0,UCI SMS Spam Collection,150,35,0,0,0
"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)",safe,Standard SMS,0,UCI SMS Spam Collection,162,29,0,0,0
"Sweet, we may or may not go to 4U to meet carlos so gauge patty's interest in that",safe,Standard SMS,0,UCI SMS Spam Collection,82,18,1,0,0
Then she buying today? Ã no need to c meh...,safe,Standard SMS,0,UCI SMS Spam Collection,45,10,0,0,0
Aight sorry I take ten years to shower. What's the plan?,safe,Standard SMS,0,UCI SMS Spam Collection,56,11,0,0,0
Every monday..nxt week vl be completing..,safe,Standard SMS,0,UCI SMS Spam Collection,41,6,0,0,0
Might ax well im there.,safe,Standard SMS,0,UCI SMS Spam Collection,23,5,0,0,0
Just chill for another 6hrs. If you could sleep the pain is not a surgical emergency so see how it unfolds. Okay,safe,Standard SMS,0,UCI SMS Spam Collection,112,22,1,0,0
Yeah I'll try to scrounge something up,safe,Standard SMS,0,UCI SMS Spam Collection,38,7,0,0,0
Crazy ar he's married. Ã like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.,safe,Standard SMS,0,UCI SMS Spam Collection,160,33,0,0,0
Were somewhere on Fredericksburg,safe,Standard SMS,0,UCI SMS Spam Collection,32,4,0,0,0
Que pases un buen tiempo or something like that,safe,Standard SMS,0,UCI SMS Spam Collection,47,9,0,0,0
Is it ok if I stay the night here? Xavier has a sleeping bag and I'm getting tired,safe,Standard SMS,0,UCI SMS Spam Collection,82,18,0,0,0
She doesnt need any test.,safe,Standard SMS,0,UCI SMS Spam Collection,25,5,0,0,0
"Nothing much, chillin at home. Any super bowl plan?",safe,Standard SMS,0,UCI SMS Spam Collection,51,9,0,0,0
"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 Â£3/wk",scam,SMS Spam,1,UCI SMS Spam Collection,155,26,21,0,0
Bugis oso near wat...,safe,Standard SMS,0,UCI SMS Spam Collection,21,4,0,0,0
Yo theres no class tmrw right?,safe,Standard SMS,0,UCI SMS Spam Collection,30,6,0,0,0
Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM,safe,Standard SMS,0,UCI SMS Spam Collection,121,25,1,0,0
"Goodnight, sleep well da please take care pa. Please.",safe,Standard SMS,0,UCI SMS Spam Collection,53,9,0,0,0
Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...,safe,Standard SMS,0,UCI SMS Spam Collection,84,20,1,0,0
U ned to convince him tht its not possible witot hurting his feeling its the main,safe,Standard SMS,0,UCI SMS Spam Collection,81,16,0,0,0
"Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you, sweetie and send my love across the sea to make you smile and happy",safe,Standard SMS,0,UCI SMS Spam Collection,152,32,0,0,0
If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.,safe,Standard SMS,0,UCI SMS Spam Collection,131,26,1,0,0
"&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read...",safe,Standard SMS,0,UCI SMS Spam Collection,327,63,1,0,0
Yo dude guess who just got arrested the other day,safe,Standard SMS,0,UCI SMS Spam Collection,49,10,0,0,0
Shuhui say change 2 suntec steamboat? U noe where? Where r u now?,safe,Standard SMS,0,UCI SMS Spam Collection,65,13,1,0,0
What does the dance river do?,safe,Standard SMS,0,UCI SMS Spam Collection,29,6,0,0,0
"Yetunde, i'm sorry but moji and i seem too busy to be able to go shopping. Can you just please find some other way to get what you wanted us to get. Please forgive me. You can reply free via yahoo messenger.",safe,Standard SMS,0,UCI SMS Spam Collection,207,42,0,0,0
Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt,safe,Standard SMS,0,UCI SMS Spam Collection,114,24,0,0,0
"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k",scam,SMS Spam,1,UCI SMS Spam Collection,101,19,23,0,1
Bbq this sat at mine from 6ish. Ur welcome 2 come,safe,Standard SMS,0,UCI SMS Spam Collection,49,11,2,0,0
"I don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough â¦",safe,Standard SMS,0,UCI SMS Spam Collection,108,20,0,0,0
Alright. I'm out--have a good night!,safe,Standard SMS,0,UCI SMS Spam Collection,36,6,0,0,0
Did you try making another butt.,safe,Standard SMS,0,UCI SMS Spam Collection,32,6,0,0,0
Hope you are feeling great. Pls fill me in. Abiola,safe,Standard SMS,0,UCI SMS Spam Collection,50,10,0,0,0
I though we shd go out n have some fun so bar in town or something â sound ok?,safe,Standard SMS,0,UCI SMS Spam Collection,80,19,0,0,0
"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",safe,Standard SMS,0,UCI SMS Spam Collection,141,24,5,0,0
"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324",scam,SMS Spam,1,UCI SMS Spam Collection,151,27,25,0,1
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY Â£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION",scam,SMS Spam,1,UCI SMS Spam Collection,154,22,31,1,0
We're finally ready fyi,safe,Standard SMS,0,UCI SMS Spam Collection,23,4,0,0,0
Auntie huai juan never pick up her phone,safe,Standard SMS,0,UCI SMS Spam Collection,40,8,0,0,0
Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,scam,SMS Spam,1,UCI SMS Spam Collection,159,24,17,0,1
"Ya tel, wats ur problem..",safe,Standard SMS,0,UCI SMS Spam Collection,25,5,0,0,0
i dnt wnt to tlk wid u,safe,Standard SMS,0,UCI SMS Spam Collection,22,7,0,0,0
"We spend our days waiting for the ideal path to appear in front of us.. But what we forget is.. ""paths are made by walking.. not by waiting.."" Goodnight!",safe,Standard SMS,0,UCI SMS Spam Collection,153,29,0,0,0
Its ok my arm is feeling weak cuz i got a shot so we can go another time,safe,Standard SMS,0,UCI SMS Spam Collection,72,18,0,0,0
Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..,safe,Standard SMS,0,UCI SMS Spam Collection,203,32,0,0,0
"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@",safe,Standard SMS,0,UCI SMS Spam Collection,324,79,1,0,0
That's ok. I popped in to ask bout something and she said you'd been in. Are you around tonght wen this girl comes?,safe,Standard SMS,0,UCI SMS Spam Collection,115,23,0,0,0
All e best 4 ur exam later.,safe,Standard SMS,0,UCI SMS Spam Collection,27,7,1,0,0
Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.,safe,Standard SMS,0,UCI SMS Spam Collection,139,29,1,0,0
Oh k.i think most of wi and nz players unsold.,safe,Standard SMS,0,UCI SMS Spam Collection,46,10,0,0,0
"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight.",safe,Standard SMS,0,UCI SMS Spam Collection,115,24,1,0,0
"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy",safe,Standard SMS,0,UCI SMS Spam Collection,155,36,0,0,0
"Haha just kidding, papa needs drugs",safe,Standard SMS,0,UCI SMS Spam Collection,35,6,0,0,0
"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch...",safe,Standard SMS,0,UCI SMS Spam Collection,82,17,1,0,0
Oh ok..,safe,Standard SMS,0,UCI SMS Spam Collection,7,2,0,0,0
R we still meeting 4 dinner tonight?,safe,Standard SMS,0,UCI SMS Spam Collection,36,7,1,0,0
Thats cool! I am a gentleman and will treat you with dignity and respect.,safe,Standard SMS,0,UCI SMS Spam Collection,73,14,0,0,0
Shall i start from hear.,safe,Standard SMS,0,UCI SMS Spam Collection,24,5,0,0,0
Then we wait 4 u lor... No need 2 feel bad lar...,safe,Standard SMS,0,UCI SMS Spam Collection,49,12,2,0,0
No did you check? I got his detailed message now,safe,Standard SMS,0,UCI SMS Spam Collection,48,10,0,0,0
You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,safe,Standard SMS,0,UCI SMS Spam Collection,155,27,0,1,0
"No, I decided that only people who care about stuff vote and caring about stuff is for losers",safe,Standard SMS,0,UCI SMS Spam Collection,93,18,0,0,0
Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...,safe,Standard SMS,0,UCI SMS Spam Collection,99,18,0,0,0
cool. We will have fun practicing making babies!,safe,Standard SMS,0,UCI SMS Spam Collection,48,8,0,0,0
Actually getting ready to leave the house.,safe,Standard SMS,0,UCI SMS Spam Collection,42,7,0,0,0
K..k..any special today?,safe,Standard SMS,0,UCI SMS Spam Collection,24,3,0,0,0
"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU",scam,SMS Spam,1,UCI SMS Spam Collection,163,26,2,0,0
Then we gotta do it after that,safe,Standard SMS,0,UCI SMS Spam Collection,30,7,0,0,0
"I've got ten bucks, jay is being noncomittal",safe,Standard SMS,0,UCI SMS Spam Collection,44,8,0,0,0
Where at were hungry too,safe,Standard SMS,0,UCI SMS Spam Collection,24,5,0,0,0
Pls speak to that customer machan.,safe,Standard SMS,0,UCI SMS Spam Collection,34,6,0,0,0
